Date,close,high,low,open
2015-04-24,563.5129,569.5762,555.7242,564.55
2015-04-27,555.37,565.95,553.2,563.39
2015-04-28,553.68,556.02,550.366,554.64
2015-04-29,549.08,553.68,546.905,550.47
2015-04-30,537.34,548.59,535.05,547.87
2015-05-01,537.9,539.54,532.1,538.43
2015-05-04,540.78,544.07,535.06,538.53
2015-05-05,530.8,539.74,530.391,538.21
2015-05-06,524.22,532.38,521.085,531.24
2015-05-07,530.7,533.46,521.75,523.99
2015-05-08,538.22,541.15,525.0,536.65
2015-05-11,535.7,541.98,535.4,538.37
2015-05-12,529.04,533.209,525.26,531.6
2015-05-13,529.62,534.322,528.655,530.56
2015-05-14,538.4,539.0,532.41,533.77
2015-05-15,533.85,539.274,530.38,539.18
2015-05-18,532.3,534.82,528.85,532.01
2015-05-19,537.36,540.66,533.04,533.98
2015-05-20,539.27,542.92,532.972,538.49
2015-05-21,542.51,543.84,535.98,537.95
2015-05-22,540.11,544.19,539.51,540.15
2015-05-26,532.32,539.0,529.88,538.12
2015-05-27,539.79,540.55,531.71,532.8
2015-05-28,539.78,540.61,536.25,538.01
2015-05-29,532.11,538.63,531.45,537.37
2015-06-01,533.99,536.79,529.76,536.79
2015-06-02,539.18,543.0,531.33,532.93
2015-06-03,540.31,543.5,537.11,539.91
2015-06-04,536.7,540.59,534.32,537.76
2015-06-05,533.33,537.2,532.52,536.35
2015-06-08,526.83,534.12,526.24,533.31
2015-06-09,526.69,529.2,523.01,527.56
2015-06-10,536.69,538.36,529.35,529.36
2015-06-11,534.61,538.98,533.02,538.425
2015-06-12,532.33,533.12,530.16,531.6
2015-06-15,527.2,528.3,524.0,528.0
2015-06-16,528.15,529.64,525.56,528.4
2015-06-17,529.26,530.98,525.1,529.37
2015-06-18,536.73,538.15,530.79,531.0
2015-06-19,536.69,538.25,533.01,537.21
2015-06-22,538.19,543.74,537.53,539.59
2015-06-23,540.48,541.499,535.25,539.64
2015-06-24,537.84,540.0,535.66,540.0
2015-06-25,535.23,540.9,535.23,538.87
2015-06-26,531.69,537.76,531.35,537.26
2015-06-29,521.52,528.61,520.54,525.01
2015-06-30,520.51,526.25,520.5,526.02
2015-07-01,521.84,525.69,518.23,524.73
2015-07-02,523.4,524.65,521.08,521.08
2015-07-06,522.86,525.25,519.0,519.5
2015-07-07,525.02,526.18,515.18,523.13
2015-07-08,516.83,522.734,516.11,521.05
2015-07-09,520.68,523.77,520.35,523.12
2015-07-10,530.13,532.56,525.55,526.29
2015-07-13,546.55,547.11,532.4,532.88
2015-07-14,561.1,565.849,546.71,546.76
2015-07-15,560.22,566.503,556.79,560.13
2015-07-16,579.85,580.68,565.0,565.12
2015-07-17,672.93,674.468,645.0,649.0
2015-07-20,663.02,668.88,653.01,659.24
2015-07-21,662.3,673.0,654.3,655.21
2015-07-22,662.1,678.64,659.0,660.89
2015-07-23,644.28,663.63,641.0,661.27
